event_type,day,device_id,player,login,channel,context
follow,2021-03-24 05:39:05,2da5e60a236b3893,web,kohrfuz,fuury_off,source=channel
follow,2021-04-13 13:16:22,2da5e60a236b3893,web,kohrfuz,hugolisoir,source=search
follow,2021-04-13 13:42:09,8cb6db5fa09341549a2f5fcc53b2709f,android,kohrfuz,cyrusnorth,
follow,2021-04-14 09:41:37,2da5e60a236b3893,web,kohrfuz,otplol_,source=channel
follow,2021-04-16 15:54:16,8cb6db5fa09341549a2f5fcc53b2709f,android,kohrfuz,hugodecrypte,
follow,2021-04-24 14:34:45,8cb6db5fa09341549a2f5fcc53b2709f,android,kohrfuz,bagherajones,
follow,2021-04-25 17:34:18,8cb6db5fa09341549a2f5fcc53b2709f,android,kohrfuz,camak,
unfollow,2021-04-27 14:07:13,2da5e60a236b3893,web,kohrfuz,locklear,source=channel
follow,2021-04-28 05:09:17,2da5e60a236b3893,web,kohrfuz,alexclick,source=channel
follow,2021-04-30 10:28:27,2da5e60a236b3893,web,kohrfuz,berlu,source=channel
follow,2021-05-01 01:25:29,2da5e60a236b3893,web,kohrfuz,avamind,source=channel
follow,2021-05-01 02:04:40,2da5e60a236b3893,web,kohrfuz,onutrem,source=channel
follow,2021-05-02 17:49:53,8cb6db5fa09341549a2f5fcc53b2709f,android,kohrfuz,chamallo_,
unfollow,2021-05-02 17:50:30,8cb6db5fa09341549a2f5fcc53b2709f,android,kohrfuz,chamallo_,
follow,2021-05-02 17:52:19,8cb6db5fa09341549a2f5fcc53b2709f,android,kohrfuz,chamallo_,
unfollow,2021-05-02 17:52:52,8cb6db5fa09341549a2f5fcc53b2709f,android,kohrfuz,chamallo_,
unfollow,2021-05-06 08:41:26,2da5e60a236b3893,web,kohrfuz,blasttv,source=channel
follow,2021-05-07 12:29:43,2da5e60a236b3893,web,kohrfuz,tartiine__,source=channel
follow,2021-05-11 13:11:05,2da5e60a236b3893,web,kohrfuz,clemenceperrault,source=channel
follow,2021-05-11 13:25:33,2da5e60a236b3893,web,kohrfuz,toneeuw,source=channel
follow,2021-05-13 03:41:30,2da5e60a236b3893,web,kohrfuz,xurei,source=channel
follow,2021-05-17 23:01:34,2da5e60a236b3893,web,kohrfuz,mizu,source=channel
follow,2021-06-17 23:54:35,8cb6db5fa09341549a2f5fcc53b2709f,android,kohrfuz,hittheroadlive,
follow,2021-09-04 04:39:46,YxPBNWdDA1P2gLZsQZIDJdyvw2tWRXDN,web,furraly,linca,source=channel
follow,2021-09-05 12:10:40,YxPBNWdDA1P2gLZsQZIDJdyvw2tWRXDN,web,furraly,gaspowrl,source=channel
